Park Name,Category,count,Nativeness
Acadia National Park,Amphibian,12,Native
Acadia National Park,Amphibian,1,Not Native
Acadia National Park,Bird,231,Native
Acadia National Park,Bird,117,Not Native
Acadia National Park,Fish,14,Native
Acadia National Park,Fish,14,Not Native
Acadia National Park,Mammal,41,Native
Acadia National Park,Mammal,12,Not Native
Acadia National Park,Reptile,6,Native
Acadia National Park,Reptile,4,Not Native
Acadia National Park,Vascular Plant,885,Native
Acadia National Park,Vascular Plant,337,Not Native
Arches National Park,Amphibian,7,Native
Arches National Park,Amphibian,1,Not Native
Arches National Park,Bird,201,Native
Arches National Park,Bird,4,Not Native
Arches National Park,Fish,3,Native
Arches National Park,Fish,8,Not Native
Arches National Park,Mammal,57,Native
Arches National Park,Mammal,1,Not Native
Arches National Park,Reptile,20,Native
Arches National Park,Vascular Plant,651,Native
Arches National Park,Vascular Plant,94,Not Native
Badlands National Park,Amphibian,8,Native
Badlands National Park,Bird,226,Native
Badlands National Park,Bird,4,Not Native
Badlands National Park,Fish,17,Native
Badlands National Park,Fish,3,Not Native
Badlands National Park,Insect,1,Native
Badlands National Park,Mammal,60,Native
Badlands National Park,Mammal,3,Not Native
Badlands National Park,Reptile,13,Native
Badlands National Park,Vascular Plant,454,Native
Badlands National Park,Vascular Plant,89,Not Native
Big Bend National Park,Amphibian,11,Native
Big Bend National Park,Amphibian,2,Not Native
Big Bend National Park,Bird,409,Native
Big Bend National Park,Bird,4,Not Native
Big Bend National Park,Fish,41,Native
Big Bend National Park,Fish,9,Not Native
Big Bend National Park,Mammal,83,Native
Big Bend National Park,Mammal,4,Not Native
Big Bend National Park,Nonvascular Plant,47,Native
Big Bend National Park,Reptile,58,Native
Big Bend National Park,Reptile,4,Not Native
Big Bend National Park,Vascular Plant,1459,Native
Big Bend National Park,Vascular Plant,89,Not Native
Biscayne National Park,Amphibian,5,Native
Biscayne National Park,Amphibian,3,Not Native
Biscayne National Park,Bird,196,Native
Biscayne National Park,Bird,34,Not Native
Biscayne National Park,Fish,108,Native
Biscayne National Park,Fish,7,Not Native
Biscayne National Park,Insect,8,Native
Biscayne National Park,Insect,3,Not Native
Biscayne National Park,Invertebrate,34,Native
Biscayne National Park,Mammal,1,Not Native
Biscayne National Park,Reptile,33,Native
Biscayne National Park,Reptile,6,Not Native
Biscayne National Park,Vascular Plant,367,Native
Biscayne National Park,Vascular Plant,187,Not Native
Black Canyon of the Gunnison National Park,Amphibian,2,Native
Black Canyon of the Gunnison National Park,Bird,171,Native
Black Canyon of the Gunnison National Park,Bird,4,Not Native
Black Canyon of the Gunnison National Park,Fish,7,Native
Black Canyon of the Gunnison National Park,Fish,8,Not Native
Black Canyon of the Gunnison National Park,Mammal,66,Native
Black Canyon of the Gunnison National Park,Mammal,1,Not Native
Black Canyon of the Gunnison National Park,Reptile,11,Native
Black Canyon of the Gunnison National Park,Vascular Plant,718,Native
Black Canyon of the Gunnison National Park,Vascular Plant,117,Not Native
Bryce Canyon National Park,Amphibian,4,Native
Bryce Canyon National Park,Bird,212,Native
Bryce Canyon National Park,Bird,5,Not Native
Bryce Canyon National Park,Mammal,74,Native
Bryce Canyon National Park,Mammal,1,Not Native
Bryce Canyon National Park,Reptile,13,Native
Bryce Canyon National Park,Vascular Plant,883,Native
Bryce Canyon National Park,Vascular Plant,92,Not Native
Canyonlands National Park,Amphibian,6,Native
Canyonlands National Park,Amphibian,1,Not Native
Canyonlands National Park,Bird,217,Native
Canyonlands National Park,Bird,3,Not Native
Canyonlands National Park,Fish,9,Native
Canyonlands National Park,Fish,24,Not Native
Canyonlands National Park,Mammal,75,Native
Canyonlands National Park,Mammal,1,Not Native
Canyonlands National Park,Reptile,22,Native
Canyonlands National Park,Vascular Plant,774,Native
Canyonlands National Park,Vascular Plant,91,Not Native
Capitol Reef National Park,Amphibian,6,Native
Capitol Reef National Park,Bird,241,Native
Capitol Reef National Park,Bird,7,Not Native
Capitol Reef National Park,Fish,7,Native
Capitol Reef National Park,Fish,7,Not Native
Capitol Reef National Park,Mammal,71,Native
Capitol Reef National Park,Mammal,1,Not Native
Capitol Reef National Park,Reptile,21,Native
Capitol Reef National Park,Vascular Plant,1060,Native
Capitol Reef National Park,Vascular Plant,143,Not Native
Carlsbad Caverns National Park,Amphibian,13,Native
Carlsbad Caverns National Park,Amphibian,1,Not Native
Carlsbad Caverns National Park,Bird,361,Native
Carlsbad Caverns National Park,Bird,6,Not Native
Carlsbad Caverns National Park,Fish,2,Native
Carlsbad Caverns National Park,Fish,3,Not Native
Carlsbad Caverns National Park,Mammal,78,Native
Carlsbad Caverns National Park,Mammal,4,Not Native
Carlsbad Caverns National Park,Reptile,62,Native
Carlsbad Caverns National Park,Vascular Plant,882,Native
Carlsbad Caverns National Park,Vascular Plant,59,Not Native
Channel Islands National Park,Algae,61,Native
Channel Islands National Park,Amphibian,3,Native
Channel Islands National Park,Amphibian,1,Not Native
Channel Islands National Park,Bird,350,Native
Channel Islands National Park,Bird,7,Not Native
Channel Islands National Park,Crab/Lobster/Shrimp,11,Native
